user,video,rating
1,4456,0
1,2586,0
1,921,0
1,1789,0
1,4490,0
1,3984,0
1,631,0
1,4514,0
1,5012,0
1,543,0
2,4028,1
2,3392,1
2,4027,1
2,3437,1
2,4046,1
2,2528,1
2,2989,1
2,1109,1
2,4850,1
2,3532,1
2,2018,1
2,3485,1
2,297,1
2,5230,1
2,1600,1
2,220,1
2,2129,1
2,3851,1
2,3523,1
2,567,1
2,2592,0
2,1840,0
2,88,0
2,2843,0
2,5318,0
2,4157,0
2,3534,0
2,2592,0
2,3046,0
2,2336,0
2,1515,0
2,1149,0
2,3703,0
2,4654,0
2,2737,0
2,2095,0
2,1748,0
2,2462,0
2,1030,0
2,609,0
2,4946,0
2,4986,0
2,5238,0
2,2521,0
2,3211,0
2,700,0
2,3968,0
2,3380,0
2,2854,0
2,4288,0
2,2814,0
2,404,0
2,3830,0
2,4775,0
2,3254,0
2,2569,0
2,4611,0
2,404,0
2,1778,0
2,799,0
2,2468,0
2,749,0
2,359,0
2,2914,0
2,5006,0
2,3254,0
2,477,0
2,3380,0
2,4239,0
2,4977,0
2,185,0
2,3254,0
2,1706,0
2,4824,0
2,4647,0
2,1310,0
2,3630,0
2,2051,0
2,3012,0
2,237,0
2,1867,0
2,4787,0
2,4067,0
2,2589,0
2,2771,0
2,653,0
2,4067,0
2,2589,0
2,2771,0
2,653,0
2,5366,0
2,2271,0
2,3944,0
2,31,0
2,3771,0
2,1641,0
2,5124,0
2,2702,0
2,1790,0
2,719,0
2,3682,0
2,5074,0
2,4851,0
2,1429,0
2,719,0
2,4849,0
3,418,1
3,1681,1
3,2673,1
3,4033,1
3,4182,1
3,519,1
3,4876,1
3,3351,1
3,2903,1
3,858,1
3,1156,1
3,850,1
3,897,1
3,1275,1
3,138,1
3,5151,1
3,4869,1
3,3851,1
3,5170,1
3,3851,1
3,446,0
3,524,0
3,2918,0
3,1030,0
3,2410,0
3,4691,0
3,2321,0
3,2779,0
3,1033,0
3,4691,0
3,2598,0
3,5058,0
3,1421,0
3,639,0
3,600,0
3,2659,0
3,5128,0
3,5035,0
3,3339,0
